program_id,tcas_year,year_ce,seats,applicants,accepted,min_score,max_score
10020101500202A,63,2020,15,81,15,12834.5,17334.5
10020101500202A,64,2021,11,210,12,15095.7,16982.1
10020101500202A,65,2022,29,186,29,32.7579,46.713
10020101500202A,66,2023,5,194,5,51.2399,57.3449
10020101500202A,67,2024,25,238,25,44.8998,56.3888
10020101500202A,68,2025,27,323,27,51.644,59.3328
10020101500203A,63,2020,14,38,13,7959.5,13779.5
10020101500203A,64,2021,18,111,22,9827.8,19258.1
10020101500203A,65,2022,31,54,13,20.0745,40.5382
10020101500203A,66,2023,29,43,15,36.6315,51.4649
10020101500203A,67,2024,30,115,30,31.6662,55.9444
10020101500203A,68,2025,22,221,22,45.7332,64.5552
10020101500204A,63,2020,45,147,45,11809,15358
10020101500204A,64,2021,65,262,66,9566.2,17116.34
10020101500204A,65,2022,151,181,38,19.2138,37.4544
10020101500204A,66,2023,144,194,67,32.7348,55.8415
10020101500204A,67,2024,145,406,145,33.4662,55.5886
10020101500204A,68,2025,133,494,133,40.6442,68.1328
10020101500205A,63,2020,16,93,16,11240,16686.9
10020101500205A,64,2021,10,100,11,10389.14,13708.7
10020101500205A,65,2022,25,54,13,19.7583,41.1965
10020101500205A,66,2023,29,35,12,29.1666,47.7799
10020101500205A,67,2024,28,118,28,31.0548,48.7664
10020101500205A,68,2025,30,158,30,37.866,50.5552
10020101500205E,64,2021,18,2,0,0,0
10020101500205E,65,2022,5,1,0,0,0
10020101500205E,66,2023,31,4,2,29.4083,35.7958
10020101500205E,67,2024,32,2,1,52.229,52.229
10020101500205E,68,2025,31,5,1,37.9699,37.9699
10020101500301A,63,2020,17,84,17,12511.5,14746
10020101500301A,64,2021,17,139,18,12944.04,16311.5
10020101500301A,65,2022,42,73,42,18.4333,43.5961
10020101500301A,66,2023,42,69,34,30.795,54.3148
10020101500301A,67,2024,40,193,40,39.1444,54.2552
10020101500301A,68,2025,44,153,44,41.5328,61.1886
10020102500601A,63,2020,100,281,100,10782.5,15910
10020102500601A,64,2021,50,361,62,9501.84,16998.44
10020102500601A,65,2022,250,672,250,25,57.5618
10020102500601A,66,2023,200,587,200,46.4165,63.31
10020102500601A,67,2024,230,486,230,26.5249,52.9998
10020102500601A,68,2025,200,1109,200,32.1414,52.6081
10020103501001A,63,2020,70,292,70,12478.5,16766.5
10020103501001A,64,2021,60,616,70,13509.84,17730.6
10020103501001A,65,2022,140,636,140,33.0368,55.5083
10020103501001A,66,2023,80,923,80,57.833,69.9745
10020103501001A,67,2024,60,741,60,49.458,67.9855
10020103501001A,68,2025,50,1179,50,55.7775,64.819
10020104210301A,63,2020,20,142,20,14109,15710
10020104210301A,64,2021,15,270,22,14764.5,17028.94
10020104210301A,65,2022,17,425,17,46.3627,60.7049
10020104210301A,66,2023,20,414,20,63.5913,76.683
10020104210301A,67,2024,15,179,15,48.0914,60.5415
10020104210301A,68,2025,13,314,13,56.1997,63.7161
10020104210401A,63,2020,25,119,25,14112.5,18823
10020104210401A,64,2021,50,498,105,15015.24,18602.94
10020104210401A,65,2022,45,1058,45,49.697,62.4
